EmployeeName,JobTitle,Department,Email,BadgeID
Ms. Michelle Harris,Sales Executive,Client Services,ms..michelle.harris@chicagoinssuranceco.com,CHI495230
Samantha Rogers,Actuary,Compliance,samantha.rogers@chicagoinssuranceco.com,CHI810834
Lisa Williams,Claims Adjuster,Sales,lisa.williams@chicagoinssuranceco.com,CHI311093
Christopher Larson,Account Manager,Risk Management,christopher.larson@chicagoinssuranceco.com,CHI470203
Richard Hunt,Actuary,Risk Management,richard.hunt@chicagoinssuranceco.com,CHI740925
William Williams,Claims Specialist,Underwriting,william.williams@chicagoinssuranceco.com,CHI970015
Tracy Hernandez,Claims Adjuster,Compliance,tracy.hernandez@chicagoinssuranceco.com,CHI414648
Shannon Wong,Risk Manager,Underwriting,shannon.wong@chicagoinssuranceco.com,CHI653089
Dean Barajas,Client Services Manager,Claims,dean.barajas@chicagoinssuranceco.com,CHI363079
Samantha Stafford,Claims Adjuster,Risk Management,samantha.stafford@chicagoinssuranceco.com,CHI546542
Jennifer Ramirez,Claims Examiner,Claims,jennifer.ramirez@chicagoinssuranceco.com,CHI664880
David Johnson,Account Manager,Compliance,david.johnson@chicagoinssuranceco.com,CHI690033
Cheryl Humphrey,Policy Administrator,Operations,cheryl.humphrey@chicagoinssuranceco.com,CHI959411
Bryan Peterson,Claims Specialist,Client Services,bryan.peterson@chicagoinssuranceco.com,CHI567705
Dawn White,Claims Adjuster,Risk Management,dawn.white@chicagoinssuranceco.com,CHI727958
David Wright,Policy Administrator,Client Services,david.wright@chicagoinssuranceco.com,CHI788940
Rebecca Valdez,Client Services Manager,Sales,rebecca.valdez@chicagoinssuranceco.com,CHI343333
Andrew Smith,Account Manager,Underwriting,andrew.smith@chicagoinssuranceco.com,CHI233747
Marie Ramos,Broker,Client Services,marie.ramos@chicagoinssuranceco.com,CHI328240
Jason Liu,Claims Specialist,Compliance,jason.liu@chicagoinssuranceco.com,CHI239982
Rachel Meza,Policy Administrator,Compliance,rachel.meza@chicagoinssuranceco.com,CHI205205
Autumn Kemp,Risk Manager,Sales,autumn.kemp@chicagoinssuranceco.com,CHI487086
Tammy Forbes,Sales Executive,Risk Management,tammy.forbes@chicagoinssuranceco.com,CHI884911
Jack Barker,Broker,Claims,jack.barker@chicagoinssuranceco.com,CHI999797
Mr. Raymond Martin,Policy Administrator,Compliance,mr..raymond.martin@chicagoinssuranceco.com,CHI238787
Lori James,Client Services Manager,Risk Management,lori.james@chicagoinssuranceco.com,CHI868165
Cynthia Gonzalez,Compliance Officer,Underwriting,cynthia.gonzalez@chicagoinssuranceco.com,CHI746467
Donna Wade,Underwriter,Underwriting,donna.wade@chicagoinssuranceco.com,CHI329706
John Williams,Actuary,Underwriting,john.williams@chicagoinssuranceco.com,CHI507001
Elizabeth Walsh,Underwriting Assistant,Risk Management,elizabeth.walsh@chicagoinssuranceco.com,CHI375766
Gary Johnson,Account Manager,Compliance,gary.johnson@chicagoinssuranceco.com,CHI989875
Mrs. Amanda Patterson DDS,Claims Examiner,Risk Management,mrs..amanda.patterson.dds@chicagoinssuranceco.com,CHI926462
Stacey Garcia,Underwriting Assistant,Risk Management,stacey.garcia@chicagoinssuranceco.com,CHI566011
Courtney Johnson,Sales Executive,Client Services,courtney.johnson@chicagoinssuranceco.com,CHI349377
Patricia Miller,Insurance Advisor,Claims,patricia.miller@chicagoinssuranceco.com,CHI301313
Donald White,Compliance Officer,Compliance,donald.white@chicagoinssuranceco.com,CHI756409
Cheryl Ramirez,Sales Executive,Underwriting,cheryl.ramirez@chicagoinssuranceco.com,CHI360250
Samantha Manning,Claims Adjuster,Underwriting,samantha.manning@chicagoinssuranceco.com,CHI912450
Christopher Morales,Claims Specialist,Operations,christopher.morales@chicagoinssuranceco.com,CHI333235
Juan Woodward,Policy Administrator,Sales,juan.woodward@chicagoinssuranceco.com,CHI699637
Aaron Townsend Jr.,Sales Executive,Risk Management,aaron.townsend.jr.@chicagoinssuranceco.com,CHI508611
Robert Richards,Underwriter,Compliance,robert.richards@chicagoinssuranceco.com,CHI745081
Joshua Walters,Underwriter,Underwriting,joshua.walters@chicagoinssuranceco.com,CHI469968
Sarah Gilmore,Account Manager,Operations,sarah.gilmore@chicagoinssuranceco.com,CHI472374
Monica Phillips,Insurance Advisor,Sales,monica.phillips@chicagoinssuranceco.com,CHI525526
Claudia Mcguire,Claims Examiner,Underwriting,claudia.mcguire@chicagoinssuranceco.com,CHI310949
Randall Garrett,Sales Executive,Sales,randall.garrett@chicagoinssuranceco.com,CHI968469
Jamie Lopez,Risk Analyst,Client Services,jamie.lopez@chicagoinssuranceco.com,CHI771652
