EmployeeName,JobTitle,Department,Email,BadgeID
Christine Williams,Broker,Operations,christine.williams@lainsuranceco.com,LA320316
Claudia Chapman,Compliance Officer,Claims,claudia.chapman@lainsuranceco.com,LA220594
Robin Harper,Claims Examiner,Compliance,robin.harper@lainsuranceco.com,LA948547
Anthony Rivera,Client Services Manager,Operations,anthony.rivera@lainsuranceco.com,LA878455
Charles Williams,Risk Analyst,Client Services,charles.williams@lainsuranceco.com,LA371349
Kimberly Savage,Sales Executive,Client Services,kimberly.savage@lainsuranceco.com,LA322926
Jennifer Caldwell,Risk Analyst,Underwriting,jennifer.caldwell@lainsuranceco.com,LA225865
Amanda Nichols,Compliance Officer,Underwriting,amanda.nichols@lainsuranceco.com,LA258571
Susan Perez,Underwriting Assistant,Compliance,susan.perez@lainsuranceco.com,LA348963
Patrick Gibson,Underwriter,Sales,patrick.gibson@lainsuranceco.com,LA413640
Thomas Cortez,Policy Administrator,Risk Management,thomas.cortez@lainsuranceco.com,LA311459
Lisa Heath,Claims Examiner,Underwriting,lisa.heath@lainsuranceco.com,LA418321
Mike Watson,Risk Manager,Operations,mike.watson@lainsuranceco.com,LA799516
Diana Gilbert,Underwriting Assistant,Risk Management,diana.gilbert@lainsuranceco.com,LA430655
Lawrence Murray,Underwriter,Client Services,lawrence.murray@lainsuranceco.com,LA640199
Cassandra Davis,Risk Analyst,Client Services,cassandra.davis@lainsuranceco.com,LA331158
Angela Atkins,Account Manager,Client Services,angela.atkins@lainsuranceco.com,LA637217
Gregory Thomas,Actuary,Compliance,gregory.thomas@lainsuranceco.com,LA908383
Jason Walsh,Claims Specialist,Claims,jason.walsh@lainsuranceco.com,LA619458
Elizabeth Lopez,Insurance Advisor,Client Services,elizabeth.lopez@lainsuranceco.com,LA811817
Chad Mcbride,Account Manager,Claims,chad.mcbride@lainsuranceco.com,LA850625
Miranda Ware,Risk Manager,Client Services,miranda.ware@lainsuranceco.com,LA618915
Julie Holt,Insurance Advisor,Sales,julie.holt@lainsuranceco.com,LA635354
Logan Ross,Client Services Manager,Underwriting,logan.ross@lainsuranceco.com,LA998606
Vanessa Perkins,Broker,Sales,vanessa.perkins@lainsuranceco.com,LA342185
Anthony Taylor,Underwriting Assistant,Underwriting,anthony.taylor@lainsuranceco.com,LA387395
Barbara Cook,Claims Examiner,Risk Management,barbara.cook@lainsuranceco.com,LA320518
Louis Hawkins,Actuary,Compliance,louis.hawkins@lainsuranceco.com,LA153865
Heidi Scott,Compliance Officer,Sales,heidi.scott@lainsuranceco.com,LA398026
Krystal Daugherty,Underwriting Assistant,Client Services,krystal.daugherty@lainsuranceco.com,LA723057
Philip Walker,Claims Adjuster,Client Services,philip.walker@lainsuranceco.com,LA580017
Randy Holden,Risk Analyst,Claims,randy.holden@lainsuranceco.com,LA229519
John Nelson,Insurance Advisor,Client Services,john.nelson@lainsuranceco.com,LA289213
Sandra Hays,Risk Manager,Claims,sandra.hays@lainsuranceco.com,LA107501
Andrew Williams,Account Manager,Compliance,andrew.williams@lainsuranceco.com,LA162443
Jason Carter,Compliance Officer,Compliance,jason.carter@lainsuranceco.com,LA581203
Stephen Johnson,Account Manager,Compliance,stephen.johnson@lainsuranceco.com,LA577571
Nancy Carr,Compliance Officer,Client Services,nancy.carr@lainsuranceco.com,LA369843
Andrew Lowe,Sales Executive,Claims,andrew.lowe@lainsuranceco.com,LA977208
Eddie Lopez,Compliance Officer,Claims,eddie.lopez@lainsuranceco.com,LA716642
Adam Jones,Risk Manager,Compliance,adam.jones@lainsuranceco.com,LA526691
Michael Brown,Insurance Advisor,Claims,michael.brown@lainsuranceco.com,LA587296
Sydney Garcia,Claims Specialist,Operations,sydney.garcia@lainsuranceco.com,LA854701
Jessica Guerra,Broker,Operations,jessica.guerra@lainsuranceco.com,LA153824
Samantha Edwards,Insurance Advisor,Client Services,samantha.edwards@lainsuranceco.com,LA117812
Richard Robertson,Sales Executive,Risk Management,richard.robertson@lainsuranceco.com,LA551045
Clifford Guerrero,Sales Executive,Underwriting,clifford.guerrero@lainsuranceco.com,LA341010
Ana Bowman,Client Services Manager,Compliance,ana.bowman@lainsuranceco.com,LA579177
Casey Gutierrez,Claims Examiner,Risk Management,casey.gutierrez@lainsuranceco.com,LA890130
Tracy Perez,Underwriter,Compliance,tracy.perez@lainsuranceco.com,LA661287
Kimberly Beard,Client Services Manager,Risk Management,kimberly.beard@lainsuranceco.com,LA110300
Christopher Hale,Sales Executive,Risk Management,christopher.hale@lainsuranceco.com,LA503658
Dana Hughes,Policy Administrator,Operations,dana.hughes@lainsuranceco.com,LA168947
Andre Perez,Underwriting Assistant,Operations,andre.perez@lainsuranceco.com,LA870088
Gary Mann,Underwriting Assistant,Underwriting,gary.mann@lainsuranceco.com,LA918982
Amy Phillips,Compliance Officer,Compliance,amy.phillips@lainsuranceco.com,LA476458
Christopher Garcia,Actuary,Claims,christopher.garcia@lainsuranceco.com,LA583242
Charles Alexander,Claims Specialist,Compliance,charles.alexander@lainsuranceco.com,LA670264
David Willis,Underwriting Assistant,Risk Management,david.willis@lainsuranceco.com,LA357288
Zachary Johns,Actuary,Operations,zachary.johns@lainsuranceco.com,LA131291
Theresa Jenkins,Broker,Risk Management,theresa.jenkins@lainsuranceco.com,LA552624
Shelley Clements,Broker,Client Services,shelley.clements@lainsuranceco.com,LA604674
Adam Kline,Compliance Officer,Risk Management,adam.kline@lainsuranceco.com,LA393520
Mark Haas,Underwriting Assistant,Sales,mark.haas@lainsuranceco.com,LA343540
James Allen,Sales Executive,Claims,james.allen@lainsuranceco.com,LA473321
Alexander Parsons,Policy Administrator,Operations,alexander.parsons@lainsuranceco.com,LA591510
James Pierce,Actuary,Underwriting,james.pierce@lainsuranceco.com,LA203650
Lisa Rogers,Risk Manager,Compliance,lisa.rogers@lainsuranceco.com,LA391287
Rebekah Wallace,Compliance Officer,Sales,rebekah.wallace@lainsuranceco.com,LA434881
Paula Sexton,Actuary,Client Services,paula.sexton@lainsuranceco.com,LA190598
Nathaniel Mills DDS,Broker,Operations,nathaniel.mills.dds@lainsuranceco.com,LA561500
Jason Cox,Insurance Advisor,Underwriting,jason.cox@lainsuranceco.com,LA722826
Mr. Richard Clark,Sales Executive,Compliance,mr..richard.clark@lainsuranceco.com,LA670780
Christopher Hernandez,Risk Analyst,Risk Management,christopher.hernandez@lainsuranceco.com,LA651477
Daniel Castillo,Risk Analyst,Underwriting,daniel.castillo@lainsuranceco.com,LA764758
