EmployeeName,JobTitle,Department,Email,BadgeID
Travis Contreras,Broker,Risk Management,travis.contreras@miamiinsuranceco.com,MIA186403
Zachary Luna,Sales Executive,Operations,zachary.luna@miamiinsuranceco.com,MIA313506
Jeffrey Mann,Risk Manager,Underwriting,jeffrey.mann@miamiinsuranceco.com,MIA505373
Sara Livingston,Risk Manager,Client Services,sara.livingston@miamiinsuranceco.com,MIA222752
Laura Fields,Compliance Officer,Risk Management,laura.fields@miamiinsuranceco.com,MIA674555
Lawrence Adams,Risk Manager,Operations,lawrence.adams@miamiinsuranceco.com,MIA170985
Kelly Miller,Compliance Officer,Sales,kelly.miller@miamiinsuranceco.com,MIA749886
Jessica Anderson,Claims Examiner,Claims,jessica.anderson@miamiinsuranceco.com,MIA464152
Jeff Shields,Account Manager,Client Services,jeff.shields@miamiinsuranceco.com,MIA564031
Eric Kim,Client Services Manager,Underwriting,eric.kim@miamiinsuranceco.com,MIA889775
David Lewis,Claims Specialist,Client Services,david.lewis@miamiinsuranceco.com,MIA577765
Mark Ballard,Policy Administrator,Operations,mark.ballard@miamiinsuranceco.com,MIA444805
Elizabeth Gonzalez,Policy Administrator,Compliance,elizabeth.gonzalez@miamiinsuranceco.com,MIA724056
Sara Fernandez,Broker,Sales,sara.fernandez@miamiinsuranceco.com,MIA184794
Karen Vasquez,Risk Analyst,Risk Management,karen.vasquez@miamiinsuranceco.com,MIA745250
Travis Riddle,Actuary,Operations,travis.riddle@miamiinsuranceco.com,MIA964236
Dennis Ballard,Account Manager,Operations,dennis.ballard@miamiinsuranceco.com,MIA638799
Steven Reyes,Claims Adjuster,Sales,steven.reyes@miamiinsuranceco.com,MIA602163
Jeffrey Blake,Underwriting Assistant,Sales,jeffrey.blake@miamiinsuranceco.com,MIA469362
Katelyn Williams,Policy Administrator,Underwriting,katelyn.williams@miamiinsuranceco.com,MIA937555
Anthony Colon,Risk Manager,Operations,anthony.colon@miamiinsuranceco.com,MIA375783
Jonathan White,Sales Executive,Sales,jonathan.white@miamiinsuranceco.com,MIA767002
