EmployeeName,JobTitle,Department,Email,BadgeID
Lisa Flynn,Risk Manager,Risk Management,lisa.flynn@nycinsuranceco.com,NYC365714
Jennifer Valentine,Underwriter,Claims,jennifer.valentine@nycinsuranceco.com,NYC206377
Anthony Michael,Compliance Officer,Claims,anthony.michael@nycinsuranceco.com,NYC145907
Amanda Blackburn,Account Manager,Compliance,amanda.blackburn@nycinsuranceco.com,NYC626599
Megan Jones,Sales Executive,Compliance,megan.jones@nycinsuranceco.com,NYC459859
Diana Moore,Claims Examiner,Client Services,diana.moore@nycinsuranceco.com,NYC413235
Kendra Salas,Risk Manager,Client Services,kendra.salas@nycinsuranceco.com,NYC125351
Tammy White,Compliance Officer,Compliance,tammy.white@nycinsuranceco.com,NYC205459
Christina Phelps,Compliance Officer,Compliance,christina.phelps@nycinsuranceco.com,NYC954548
Michael Martin,Claims Examiner,Compliance,michael.martin@nycinsuranceco.com,NYC790412
Lawrence Hicks,Insurance Advisor,Claims,lawrence.hicks@nycinsuranceco.com,NYC648304
Brianna Morales,Account Manager,Client Services,brianna.morales@nycinsuranceco.com,NYC311407
Shawn Vasquez,Insurance Advisor,Underwriting,shawn.vasquez@nycinsuranceco.com,NYC349196
Rose Bailey,Compliance Officer,Client Services,rose.bailey@nycinsuranceco.com,NYC173842
Sabrina Guerra,Risk Analyst,Underwriting,sabrina.guerra@nycinsuranceco.com,NYC451165
Shawn Johnson,Account Manager,Compliance,shawn.johnson@nycinsuranceco.com,NYC795823
Joanna Rodriguez,Claims Examiner,Underwriting,joanna.rodriguez@nycinsuranceco.com,NYC749612
Michelle Cox,Underwriting Assistant,Underwriting,michelle.cox@nycinsuranceco.com,NYC922786
Casey Martinez,Claims Specialist,Risk Management,casey.martinez@nycinsuranceco.com,NYC280373
Angela Hutchinson,Actuary,Compliance,angela.hutchinson@nycinsuranceco.com,NYC929484
Carla Simmons,Risk Manager,Risk Management,carla.simmons@nycinsuranceco.com,NYC779829
Cody Richardson,Insurance Advisor,Underwriting,cody.richardson@nycinsuranceco.com,NYC364218
Eduardo Wright,Broker,Risk Management,eduardo.wright@nycinsuranceco.com,NYC500011
Stacy Wilson,Broker,Client Services,stacy.wilson@nycinsuranceco.com,NYC876736
Charlotte Smith,Actuary,Underwriting,charlotte.smith@nycinsuranceco.com,NYC535349
Brandon Guzman,Claims Examiner,Sales,brandon.guzman@nycinsuranceco.com,NYC811524
Blake Garcia,Risk Manager,Sales,blake.garcia@nycinsuranceco.com,NYC319718
Emily Reynolds,Broker,Sales,emily.reynolds@nycinsuranceco.com,NYC858297
