EmployeeName,JobTitle,Department,Email,BadgeID
Alexandra Jordan,Risk Manager,Claims,alexandra.jordan@phlinsuranceco.com,PHL992951
Emily Wallace,Actuary,Operations,emily.wallace@phlinsuranceco.com,PHL684237
Tammy Morgan,Risk Analyst,Client Services,tammy.morgan@phlinsuranceco.com,PHL976817
Savannah Bates,Sales Executive,Claims,savannah.bates@phlinsuranceco.com,PHL467252
Edward Peterson,Broker,Claims,edward.peterson@phlinsuranceco.com,PHL354590
Casey Davis,Account Manager,Operations,casey.davis@phlinsuranceco.com,PHL530527
Bruce Murphy,Underwriting Assistant,Underwriting,bruce.murphy@phlinsuranceco.com,PHL677975
Corey Alvarez,Actuary,Underwriting,corey.alvarez@phlinsuranceco.com,PHL897143
William Decker,Sales Executive,Underwriting,william.decker@phlinsuranceco.com,PHL469593
David Keller,Broker,Client Services,david.keller@phlinsuranceco.com,PHL222334
Daniel Stevenson,Underwriting Assistant,Risk Management,daniel.stevenson@phlinsuranceco.com,PHL680256
David Baldwin,Broker,Compliance,david.baldwin@phlinsuranceco.com,PHL564299
Andrew Anderson,Risk Analyst,Operations,andrew.anderson@phlinsuranceco.com,PHL828987
Philip Morris,Client Services Manager,Underwriting,philip.morris@phlinsuranceco.com,PHL229802
Jennifer Gonzalez,Broker,Risk Management,jennifer.gonzalez@phlinsuranceco.com,PHL719601
Daniel Chan,Underwriting Assistant,Claims,daniel.chan@phlinsuranceco.com,PHL992943
Elaine Washington,Underwriter,Client Services,elaine.washington@phlinsuranceco.com,PHL196894
Joan Andrews,Compliance Officer,Client Services,joan.andrews@phlinsuranceco.com,PHL989831
William Stone,Claims Specialist,Risk Management,william.stone@phlinsuranceco.com,PHL466095
Michelle Rivas,Sales Executive,Compliance,michelle.rivas@phlinsuranceco.com,PHL420247
Christina Sanders,Claims Adjuster,Underwriting,christina.sanders@phlinsuranceco.com,PHL641973
Matthew Holmes,Risk Manager,Sales,matthew.holmes@phlinsuranceco.com,PHL189107
Scott Harris,Risk Analyst,Sales,scott.harris@phlinsuranceco.com,PHL181573
Ana Pineda,Policy Administrator,Risk Management,ana.pineda@phlinsuranceco.com,PHL550096
Caitlin Cooper,Compliance Officer,Client Services,caitlin.cooper@phlinsuranceco.com,PHL197066
Joann Clark,Underwriting Assistant,Operations,joann.clark@phlinsuranceco.com,PHL635179
Amanda Hansen,Actuary,Claims,amanda.hansen@phlinsuranceco.com,PHL758356
Maria Cummings,Claims Adjuster,Operations,maria.cummings@phlinsuranceco.com,PHL376316
Shawn Stewart,Insurance Advisor,Claims,shawn.stewart@phlinsuranceco.com,PHL661057
Ashley Olson,Claims Specialist,Operations,ashley.olson@phlinsuranceco.com,PHL787168
Adrienne Porter,Insurance Advisor,Client Services,adrienne.porter@phlinsuranceco.com,PHL104089
Stacy Best,Sales Executive,Client Services,stacy.best@phlinsuranceco.com,PHL883840
Jasmine Hughes,Claims Specialist,Compliance,jasmine.hughes@phlinsuranceco.com,PHL586552
Margaret Smith,Policy Administrator,Client Services,margaret.smith@phlinsuranceco.com,PHL597810
Douglas Martinez,Account Manager,Client Services,douglas.martinez@phlinsuranceco.com,PHL360369
Nancy Christensen MD,Claims Adjuster,Sales,nancy.christensen.md@phlinsuranceco.com,PHL164007
Ann Anderson,Risk Manager,Underwriting,ann.anderson@phlinsuranceco.com,PHL539051
Dana Brown,Actuary,Compliance,dana.brown@phlinsuranceco.com,PHL951042
Joseph Reynolds DDS,Insurance Advisor,Compliance,joseph.reynolds.dds@phlinsuranceco.com,PHL503271
Lori King,Client Services Manager,Client Services,lori.king@phlinsuranceco.com,PHL613331
Christopher Wright,Policy Administrator,Claims,christopher.wright@phlinsuranceco.com,PHL266054
Dean Burnett,Broker,Claims,dean.burnett@phlinsuranceco.com,PHL790071
Brian Stein,Underwriting Assistant,Claims,brian.stein@phlinsuranceco.com,PHL887479
Maria Fisher,Risk Manager,Sales,maria.fisher@phlinsuranceco.com,PHL954186
Douglas Gilbert,Risk Manager,Compliance,douglas.gilbert@phlinsuranceco.com,PHL719080
Maria Williams,Claims Examiner,Operations,maria.williams@phlinsuranceco.com,PHL539667
Teresa Morales,Policy Administrator,Sales,teresa.morales@phlinsuranceco.com,PHL119149
Laura Garrett,Sales Executive,Claims,laura.garrett@phlinsuranceco.com,PHL764325
Robert Greene,Risk Analyst,Sales,robert.greene@phlinsuranceco.com,PHL466088
Ryan Johnston,Sales Executive,Underwriting,ryan.johnston@phlinsuranceco.com,PHL798511
Mary Glass,Compliance Officer,Underwriting,mary.glass@phlinsuranceco.com,PHL792921
Dominique Lucas,Client Services Manager,Sales,dominique.lucas@phlinsuranceco.com,PHL934566
Lawrence Howard,Risk Manager,Risk Management,lawrence.howard@phlinsuranceco.com,PHL677422
Dawn Joseph,Risk Manager,Operations,dawn.joseph@phlinsuranceco.com,PHL271261
Vanessa Hutchinson,Insurance Advisor,Claims,vanessa.hutchinson@phlinsuranceco.com,PHL959033
Travis Maddox,Claims Specialist,Operations,travis.maddox@phlinsuranceco.com,PHL883644
Michael Lane,Client Services Manager,Claims,michael.lane@phlinsuranceco.com,PHL432325
Maria Davidson,Compliance Officer,Operations,maria.davidson@phlinsuranceco.com,PHL628272
Kevin Washington,Claims Examiner,Sales,kevin.washington@phlinsuranceco.com,PHL706224
Anthony Carson,Policy Administrator,Sales,anthony.carson@phlinsuranceco.com,PHL899191
Ian Ray,Claims Examiner,Underwriting,ian.ray@phlinsuranceco.com,PHL841578
Jennifer Welch,Actuary,Operations,jennifer.welch@phlinsuranceco.com,PHL601599
Jared Hall,Claims Adjuster,Compliance,jared.hall@phlinsuranceco.com,PHL452501
Joseph Hill,Actuary,Sales,joseph.hill@phlinsuranceco.com,PHL406175
Dale Turner,Broker,Risk Management,dale.turner@phlinsuranceco.com,PHL113573
Jennifer Small,Claims Specialist,Compliance,jennifer.small@phlinsuranceco.com,PHL136983
Jason Greer,Claims Adjuster,Compliance,jason.greer@phlinsuranceco.com,PHL855779
Angela Ross,Account Manager,Client Services,angela.ross@phlinsuranceco.com,PHL162470
Curtis Thompson,Broker,Compliance,curtis.thompson@phlinsuranceco.com,PHL968881
Jeffery Webster,Claims Adjuster,Sales,jeffery.webster@phlinsuranceco.com,PHL372016
